sku,nombre,categoria,tags,descripcion,precio,stock,foto_url,visible,orden
ZP-FT-016,Sistema CNC de Escritorio ZOI CNC 3020ZE,Fabricación Digital,"cnc,desktop,pcb,prototipado","Router CNC de escritorio para grabado, corte y fresado de diversos materiales, incluyendo placas electrónicas. Estructura metálica robusta y control digital para trabajos de precisión.",0.00,10,/product-images/producto-tecnico-16.jpg,TRUE,16
ZP-FT-017,Pantalla Interactiva horION 86 pulgadas,Tecnología Educativa,"pantalla,interactiva,educacion,colaboracion","Pantalla interactiva profesional de 86 pulgadas con resolución UHD 4K, tecnología táctil infrarroja, cámara con inteligencia artificial, matriz de micrófonos y funciones de colaboración para espacios educativos y corporativos.",0.00,10,/product-images/producto-tecnico-17.jpg,TRUE,17
ZP-UTPL-001,Apple Mac Pro M2 Ultra + Apple Studio Display,Computadores,"utpl, apple, escritorio, pantalla, profesional","Computador de escritorio Apple Mac Pro con chip M2 Ultra, memoria unificada de 128 GB, SSD de 2 TB y Apple Studio Display Retina 5K. Incluye instalación, capacitación básica y garantía.",0.00,10,/product-images/utpl-producto-01.jpg,TRUE,18
ZP-UTPL-002,iPad Pro M4 + Apple Pencil,Tabletas,"utpl, apple, tablet, diseño, dibujo","iPad Pro con chip M4, pantalla de 13 pulgadas, 1 TB de almacenamiento, vidrio nanotexturizado, conectividad WiFi y Apple Pencil USB-C para dibujo, notas y creación digital.",0.00,10,/product-images/utpl-producto-02.jpg,TRUE,19
ZP-UTPL-003,Alienware Area-51 + Monitor Curvo 34 pulgadas,Computadores,"utpl, alienware, escritorio, gaming, render","Computador Alienware Area-51 para alto rendimiento en videojuegos, render, diseño y tareas demandantes. Incluye monitor curvo Alienware de 34 pulgadas QD-OLED.",0.00,10,/product-images/utpl-producto-03.jpg,TRUE,20
ZP-UTPL-004,Alienware X16 R2,Laptops,"utpl, alienware, laptop, gaming, diseño","Laptop Alienware X16 R2 con pantalla QHD+ de 16 pulgadas a 240 Hz, Intel Core Ultra 9, 32 GB de RAM, SSD de 1 TB y NVIDIA GeForce RTX 4080.",0.00,10,/product-images/utpl-producto-04.jpg,TRUE,21
ZP-UTPL-005,Creality K2 Plus Combo,Impresión 3D,"utpl, impresora 3d, creality, multicolor, fabricación digital","Impresora 3D Creality K2 Plus Combo de gran capacidad, alta velocidad y flujo multicolor. Incluye rollos de muestra, kit básico de herramientas, instalación y capacitación.",0.00,10,/product-images/utpl-producto-05.jpg,TRUE,22
ZP-UTPL-006,Apple iMac 24 pulgadas M4,Computadores,"utpl, apple, imac, escritorio, diseño","iMac de 24 pulgadas con chip M4, pantalla Retina 4.5K, CPU y GPU de 10 núcleos, hasta 32 GB de memoria unificada y configuración profesional para diseño y creación.",0.00,10,/product-images/utpl-producto-06.jpg,TRUE,23
ZP-UTPL-007,Wacom One 12,Tabletas gráficas,"utpl, wacom, tableta gráfica, dibujo, diseño","Tableta de dibujo Wacom One 12 con pantalla HD de 11.6 pulgadas, lápiz Wacom One Pen, sensibilidad a presión, reconocimiento de inclinación y conexión USB-C.",0.00,10,/product-images/utpl-producto-07.jpg,TRUE,24
ZP-UTPL-008,Impresora UV DTF UV Locor 30 cm,Impresión UV DTF,"utpl, uv dtf, impresión, personalización, locor","Sistema de impresión UV DTF de 30 cm para transferir diseños sobre madera, vidrio, cuero, acrílico, metal y otros materiales planos o curvos.",0.00,10,/product-images/utpl-producto-08.jpg,TRUE,25
ZP-UTPL-009,Wacom Cintiq M 22,Tabletas gráficas,"utpl, wacom, cintiq, tableta gráfica, animación","Tableta Wacom Cintiq M de 21.5 pulgadas con Pro Pen 2, pantalla Full HD, 8192 niveles de presión, baja latencia y flujo natural para ilustración y animación.",0.00,10,/product-images/utpl-producto-09.jpg,TRUE,26
